OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.918394-0.28009584546089172" 
2, comb, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.918394-0.22550641000270844" 
2, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "0.918394+0.11640004813671112" 
2, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "0.918394+0.10708390921354294" 
2, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "0.918394+0.081661149859428406" 
2, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "0.918394+0.20575152337551117" 
2, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "0.918394+0.18932536244392395" 
2, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "0.918394+0.56019169092178345" 
2, comb, up, 1, -2.4, 2.4, 300, 670, 0, 1, "0.918394+0.45101282000541687" 
2, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "0.918394+0.05820002406835556" 
2, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "0.918394+0.053541954606771469" 
2, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "0.918394+0.040830574929714203" 
2, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "0.918394+0.10287576168775558" 
2, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "0.918394+0.094662681221961975" 
2, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "0.918394+0.28009584546089172" 
2, comb, up, 0, -2.4, 2.4, 300, 670, 0, 1, "0.918394+0.22550641000270844" 
2, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.923309" 
2, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.923309" 
2, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.923309-0.12073320150375366" 
2, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.923309-0.11367511749267578" 
2, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.923309-0.086542770266532898" 
2, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.923309-0.21486189961433411" 
2, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.923309-0.20072920620441437" 
2, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.923309-0.59314113855361938" 
2, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "0.923309-0.48248621821403503" 
2, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.923309-0.060366600751876831" 
2, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.923309-0.056837558746337891" 
2, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.923309-0.043271385133266449" 
2, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.923309-0.10743094980716705" 
2, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.923309-0.10036460310220718" 
2, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.923309-0.29657056927680969" 
2, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.923309-0.24124310910701752" 
2, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "0.923309+0.12073320150375366" 
2, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "0.923309+0.11367511749267578" 
2, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "0.923309+0.086542770266532898" 
2, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "0.923309+0.21486189961433411" 
2, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "0.923309+0.20072920620441437" 
2, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "0.923309+0.59314113855361938" 
2, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 1, "0.923309+0.48248621821403503" 
2, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "0.923309+0.060366600751876831" 
2, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "0.923309+0.056837558746337891" 
2, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "0.923309+0.043271385133266449" 
2, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "0.923309+0.10743094980716705" 
2, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "0.923309+0.10036460310220718" 
2, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "0.923309+0.29657056927680969" 
2, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "0.923309+0.24124310910701752" 
0, comb, central, 2, -2.4, 2.4, 30, 670, 0, 1, "1."
0, comb, up,      2, -2.4, 2.4, 30, 670, 0, 1, "1.+0.15"
0, comb, down,    2, -2.4, 2.4, 30, 670, 0, 1, "1.-0.15"
1, comb, central, 2, -2.4, 2.4, 30, 670, 0, 1, "1."
1, comb, up,      2, -2.4, 2.4, 30, 670, 0, 1, "1.+0.20"
1, comb, down,    2, -2.4, 2.4, 30, 670, 0, 1, "1.-0.20"
2, comb, central, 2, -2.4, 2.4, 30, 670, 0, 1, "1."
2, comb, up,      2, -2.4, 2.4, 30, 670, 0, 1, "1.+0.40"
2, comb, down,    2, -2.4, 2.4, 30, 670, 0, 1, "1.-0.40"
